"ResponseId","ConditionAssigned","Q2_combined","Q3_combined","Q4_combined"
"R_7P4M3QNUV0sz7kl","Loss",1,3,5
"R_3uPoKeQUqogIL4l","Gain",5,2,2
"R_65G7BrispC2eV2n","Control",5,3,3
"R_40i6X1z7fQUH2Bs","Loss",2,6,5
"R_1k0T1HeuJsmtdQm","Gain",5,3,3
"R_3y9bl3tR1vzxcSR","Loss",2,7,6
"R_7jx25gH6q84XuJX","Control",1,5,4
"R_1F5my25GorP5SB7","Control",1,3,3
"R_4rrxy04vs26yGbE","Gain",5,5,3
"R_4YM0YRlwqDt84n6","Loss",4,5,2
"R_3HirVktC5EZCToz","",NA,NA,NA
"R_7jVsDsHWJIq8ryF","Gain",5,4,2
"R_4zBJfhVvODh4DfU","Control",2,6,6
"R_4fbm5Ejfli11HdD","Loss",6,6,7
"R_4FBbMcgkQPVv6hj","Gain",1,5,1
"R_2t2ZsgiK9zDXOCd","Loss",3,6,5
"R_4EVytMWzOPhC0oN","Control",1,4,5
"R_4vbKtMtrQdExNwl","Control",4,2,2
"R_3LXNk1DDObbonKj","Loss",5,6,5
"R_1Xd0KpBBcYliB4F","Control",1,6,6
"R_3joLtZXkaKa4969","Gain",5,4,4
"R_5TPKL7HtrsGPkGZ","Loss",4,7,7
"R_5v34hBiUkhAMNe8","Gain",1,3,1
"R_4Ejo47W5aWAd16r","Control",1,4,1
"R_3AtA0ToAL1kTjkR","Loss",1,4,2
"R_3j9z5Mw2V2vW5BG","Control",3,5,3
"R_1ZZZHiN45qpdhFD","Gain",6,7,1
"R_2abK14rV2Tm7jZQ","Loss",5,7,3
"R_3g6LePmlQn4jRUZ","Control",1,4,3
"R_7Z4zcdlWkTaDvz3","Loss",2,1,5
"R_2EASpw0gdfYGLv4","Gain",5,5,4
"R_3Ppe6eftkbyHJtu","Control",2,2,2
"R_5PUC9jWvjrc2uiO","Gain",5,6,5
"R_7ZDEnH2UGxlIhRn","Loss",5,5,6
"R_3LjwAmexbDXOgLh","Loss",5,6,5
"R_2KU8EvcMVhMPj2N","Gain",3,2,2
"R_2mR9Ksddh50zAg9","Control",1,5,2
"R_5gotcD7dNTdZpBG","Control",2,3,5
"R_7f20dqhbKEoB1iF","Gain",2,7,6
"R_7xwKPK7p9EVg4Bz","Loss",5,6,6
"R_5LiL7NCd0SBcomt","Control",1,1,1
"R_3mK4BUgiwP6wxzZ","Gain",2,6,5
"R_1bHJ0O43vdhKAV0","Loss",3,2,5
"R_24TjTeOgE2zSowx","Gain",6,2,2
"R_2fl7hdtQwtxxVnj","Control",1,4,4
"R_1hyJ9f6tdMCeaDT","Control",4,1,1
"R_3Hh4navj6tsEmaZ","Gain",5,4,4
"R_1J9JPJaR04zi7Rt","Loss",2,2,1
"R_1dvufLTspDPbzck","Gain",4,4,3
"R_7YKaX2aoBrHMZMs","Loss",4,3,3
"R_3118Lv58YN9pD0V","Control",6,7,2
"R_5MzidzwtuhLYvpJ","Gain",3,NA,5
"R_2PoiGVK6i0A7nXK","Loss",5,5,3
"R_115ZRxEeXjRsoOx","Control",1,1,1
"R_2JDSmJckpIdxNZW","Loss",2,2,5
"R_7KBE0L3VWqFmRPH","Control",4,3,2
"R_1M4DT8KBR2JACef","Gain",1,2,1
"R_10qJnBf326dwLgR","Gain",3,4,2
"R_1CPdoKZcUepogMG","Loss",7,3,2
"R_39yPUjZyOKkQzzr","Control",1,1,1
"R_2t9lKbqtsLOTTHn","Gain",2,2,4
"R_4fl0mBO2DJdAypf","Control",4,2,5
"R_1pmNHgxgDC0Uc79","Loss",2,5,5
"R_1njVZ4LfzDpKQhj","Loss",2,3,3
"R_11AGukIXLIB9BsU","Control",2,5,1
"R_7aFKemFfIMcrU9b","Gain",5,7,5
"R_1EkKLsSvHn0eCNr","Control",4,5,2
"R_7eeHvGlK0BTRTA4","Loss",2,2,2
"R_7QLNYfGmypHlEHf","Gain",1,3,1
"R_8hFK2zxtBP8mhLz","Control",2,3,5
"R_7Eb31QoETwsnM32","Loss",3,2,2
"R_5IZevmhSIDECSrf","Gain",5,4,3
"R_5LgU9kcp0bxoEC0","Control",2,3,5
"R_89tOl6oQNIg8ME9","Loss",6,6,5
"R_2RxUorgVzH20WPX","Gain",7,6,6
"R_1LfCkmPptmnlfXP","Control",6,2,2
"R_7ZDnTEVxoi3Bnsl","Loss",5,5,6
"R_5HN5VS5oJnQCI4r","Control",1,6,5
"R_2exbGD6iAIA5gi7","Loss",3,7,3
"R_1oBkB7Xxfjwp6Kx","Gain",5,2,2
"R_2kZZnYBqsL4hgEx","Loss",4,4,4
"R_5aACYxcUVxYa2c1","Gain",5,4,3
"R_7IS1Kr7C6GcMSh7","Control",3,3,3
"R_3EsOpJBWj8RHsaz","Control",4,4,2
